,company,country_of_origin,model,number_of_cc,horsepower,torque,transmission_type,drivetrain,seating,price,year,looks,body_type,engine_type,number_of_cylinders
0,italy,Italy,rs 660,659.0,100.0,67.0,quickshifter,chain,2,1099000.0,2021,sport,naked,paralleltwin,2
1,italy,Italy,tuono 660,659.0,100.0,67.0,quickshifter,chain,2,1199000.0,2021,sport,naked,paralleltwin,2
2,italy,Italy,rs 125,124.9,15.0,12.0,manual,chain,2,449000.0,2022,sport,racing,singlecylinder,1
3,italy,Italy,shiver 900,896.0,95.0,90.0,manual,shaft,2,1399000.0,2022,adventure,naked,vtwin,2
4,italy,Italy,tuono 1100,1077.0,175.0,121.0,manual,shaft,2,1999000.0,2022,adventure,naked,vtwin,2
5,italy,Italy,tnt 125,125.0,11.0,10.8,manual,chain,2,125000.0,2023,classy,sport,single,1
6,italy,Italy,tnt 250,250.0,27.0,21.2,manual,chain,2,175000.0,2023,sporty,sport,single,1
7,italy,Italy,tnt 300,300.0,39.0,26.5,manual,chain,2,200000.0,2023,classy,sport,single,1
8,italy,Italy,tnt 600i,600.0,85.0,54.6,manual,chain,2,400000.0,2023,sporty,sport,paralleltwin,2
9,italy,Italy,tnt 899,899.0,116.0,86.3,manual,chain,2,600000.0,2023,sporty,sport,triple,3
10,italy,Italy,trk 251,250.0,27.0,21.2,manual,chain,2,225000.0,2023,adventure,adventure,single,1
11,italy,Italy,trk 502,500.0,47.0,46.0,manual,chain,2,350000.0,2023,adventure,adventure,paralleltwin,2
12,italy,Italy,leoncino 500,500.0,47.0,46.0,manual,chain,2,325000.0,2023,retro,cruiser,paralleltwin,2
13,germany,Germany,g 310 gs,313.0,34.0,28.0,manual,chain,2,300000.0,2023,adventure,adventure,single,1
14,germany,Germany,g 310 r,313.0,34.0,28.0,manual,chain,2,250000.0,2023,sporty,roadster,single,1
15,germany,Germany,f 850 gs,853.0,95.0,92.0,manual,shaft,2,600000.0,2023,adventure,adventure,paralleltwin,2
16,germany,Germany,f 850 gs adventure,853.0,95.0,92.0,manual,shaft,2,800000.0,2023,adventure,adventure,paralleltwin,2
17,germany,Germany,r 1250 gs,1170.0,136.0,112.0,manual,shaft,2,1200000.0,2023,adventure,adventure,boxer,2
18,germany,Germany,r 1250 rt,1170.0,136.0,112.0,manual,shaft,2,1400000.0,2023,touring,cruiser,boxer,2
19,germany,Germany,s 1000 rr,999.0,199.0,113.0,manual,chain,2,1600000.0,2023,sporty,superbike,liquidcooled inline4,4
20,germany,Germany,s 1000 r,999.0,165.0,112.0,manual,chain,2,1200000.0,2023,sporty,roadster,liquidcooled inline4,4
40,china,China,300nk,292.4,33.99,21.5,manual,chain drive,1,229000.0,2022,classy,naked,singlecylinder,1
41,china,China,650nk,649.3,61.18,45.0,manual,chain drive,1,429000.0,2022,classy,naked,paralleltwin,2
42,china,China,650mt,649.0,70.7,55.0,manual,chain drive,2,529000.0,2022,adventure,adventure,paralleltwin,2
43,china,China,650gt,649.3,62.54,49.0,manual,shaft drive,2,559000.0,2022,touring,sporttouring,paralleltwin,2
44,usa,USA,hellcat,1967.0,205.0,135.0,manual,belt drive,1,55000.0,2022,retro,cruiser,vtwin,2
45,usa,USA,wraith,1967.0,190.0,125.0,manual,belt drive,1,50000.0,2022,modern,roadster,vtwin,2
46,usa,USA,x132 hellcat combat fighter,2163.0,227.0,143.0,manual,belt drive,1,100000.0,2023,modern,fighter,vtwin,2
47,south korea,South Korea,vl 125,124.9,10.8,10.2,manual,chain drive,1,129500.0,2022,classy,cruiser,singlecylinder,1
48,south korea,South Korea,v125 fi,124.9,11.2,10.2,cvt,automatic,1,140000.0,2022,classy,scooter,singlecylinder,1
49,south korea,South Korea,ns 250 fi,249.6,27.6,22.4,manual,chain drive,1,239000.0,2023,sporty,naked,singlecylinder,1
50,south korea,South Korea,roadwin 250,249.6,27.6,22.4,manual,chain drive,1,259000.0,2023,adventure,adventure,singlecylinder,1
51,italy,Italy,panigale v4,1103.0,221.0,124.0,manual,chain,1,2741000.0,2022,classy,sports,v4,4
52,italy,Italy,diavel,1262.0,159.6,93.0,automatic,belt,1,2591000.0,2022,bold,cruiser,ltwin,2
53,italy,Italy,scrambler 800,803.0,73.0,47.0,manual,chain,2,939000.0,2022,retro,standard,ltwin,2
54,italy,Italy,monster,937.0,111.0,69.0,manual,chain,1,1295000.0,2022,sleek,naked,ltwin,2
55,italy,Italy,multistrada v4,1158.0,168.0,93.0,manual,shaft,2,2148000.0,2022,adventure,adventure,v4,4
56,united states,United States,nightster,975.0,88.5,65.0,manual,belt drive,1,1749000.0,2023,classy,cruiser,vtwin,1
57,united states,United States,sportster s,1252.0,120.7,94.0,manual,belt drive,1,1879000.0,2023,classy,cruiser,vtwin,1
58,united states,United States,road glide special,1868.0,92.5,118.0,automatic,belt drive,1,4049000.0,2023,classy,tourer,vtwin,2
59,united states,United States,street glide special,1868.0,92.5,118.0,automatic,belt drive,1,3749000.0,2023,classy,tourer,vtwin,2
60,united states,United States,pan america 1250,1252.0,150.2,94.0,manual,chain drive,2,2449000.0,2023,adventure,adventure,vtwin,2
61,united states,United States,fat bob,1868.0,92.5,118.0,manual,belt drive,1,2049000.0,2023,classy,cruiser,vtwin,2
62,united states,United States,fat boy,1868.0,92.5,118.0,manual,belt drive,1,2449000.0,2023,classy,cruiser,vtwin,2
63,united states,United States,heritage classic,1868.0,94.0,112.0,manual,belt drive,2,2659000.0,2023,classy,cruiser,vtwin,2
64,japan,Japan,cbr250r,249.6,26.5,19.4,manual,chain drive,2,145000.0,2023,classy,sport,singlecylinder,2
65,japan,Japan,cb350r,348.36,31.0,27.3,manual,chain drive,2,185000.0,2023,classic,standard,singlecylinder,1
66,india,India,hness cb350,348.36,29.6,30.0,manual,chain drive,2,165000.0,2022,classic,standard,singlecylinder,1
67,india,India,cb shine,124.9,10.5,10.3,manual,chain drive,2,65000.0,2023,modern,standard,singlecylinder,1
68,india,India,activa 125,124.9,8.75,10.3,cvt,automatic,2,62000.0,2023,modern,scooter,singlecylinder,1
69,sweden,Sweden,vitpilen 401,373.2,43.0,37.0,manual,chain drive,2,325000.0,2023,modern stylish,naked,singlecylinder,1
70,sweden,Sweden,svartpilen 401,373.2,43.0,37.0,manual,chain drive,2,335000.0,2023,modern rugged,adventure,singlecylinder,1
71,sweden,Sweden,701 supermoto,693.0,75.0,72.0,manual,chain drive,1,650000.0,2023,modern sporty,supermoto,singlecylinder,1
72,sweden,Sweden,701 enduro,693.0,75.0,72.0,manual,chain drive,1,750000.0,2023,modern offroad,enduro,singlecylinder,1
73,usa,USA,chief dark horse,1133.0,108.0,114.0,manual,chain drive,2,22999.0,2023,classic rugged,cruiser,vtwin,2
74,usa,USA,chief bobber dark horse,1133.0,108.0,114.0,manual,chain drive,2,23999.0,2023,classic bobber,cruiser,vtwin,2
75,usa,USA,challenger dark horse,1799.0,122.0,178.0,manual,belt drive,2,25999.0,2023,modern muscular,cruiser,vtwin,2
76,usa,USA,ftr 1200 s,1203.0,120.0,110.0,manual,chain drive,1,19999.0,2023,modern sporty,standard,vtwin,1
77,usa,USA,scout bobber,1133.0,94.0,95.0,manual,chain drive,2,14999.0,2023,modern bobber,standard,vtwin,1
78,japan,Japan,ninja 300,296.0,39.0,27.0,manual,chain,2,343000.0,2023,classy,sports,liquidcooled paralleltwin,2
79,japan,Japan,ninja 400,399.0,45.0,39.0,manual,chain,2,519000.0,2023,classy,sports,liquidcooled paralleltwin,2
80,japan,Japan,ninja 650,649.0,67.0,66.0,manual,chain,2,665000.0,2023,classy,sports,liquidcooled paralleltwin,2
81,japan,Japan,z900,948.0,125.0,98.6,manual,chain,2,911000.0,2023,aggressive,naked,liquidcooled fourcylinder,4
82,japan,Japan,z h2,998.0,197.0,140.0,manual,shaft,2,2302000.0,2023,aggressive,naked,supercharged fourcylinder,4
83,japan,Japan,vulcan s,649.0,60.0,62.0,manual,belt,2,695000.0,2023,classic,cruiser,liquidcooled paralleltwin,2
84,austria,Austria,125 duke,125.0,15.0,12.0,manual,chain,1,178000.0,2023,classy,naked,singlecylinder,1
85,austria,Austria,200 duke,200.0,25.0,19.0,manual,chain,1,192000.0,2023,classy,naked,singlecylinder,1
86,austria,Austria,250 duke,250.0,30.0,24.0,manual,chain,1,220000.0,2023,classy,naked,singlecylinder,1
87,austria,Austria,390 duke,390.0,43.0,37.0,manual,chain,1,310000.0,2023,classy,naked,singlecylinder,1
88,austria,Austria,rc 200,200.0,25.0,19.0,manual,chain,1,205000.0,2023,raceinspired,sport,singlecylinder,1
89,austria,Austria,rc 390,390.0,43.0,37.0,manual,chain,1,330000.0,2023,raceinspired,sport,singlecylinder,1
90,austria,Austria,390 adventure,373.0,43.0,37.0,manual,chain,2,360000.0,2023,adventure,adventure,singlecylinder,1
91,austria,Austria,790 adventure,799.0,95.0,88.0,manual,chain,2,550000.0,2023,adventure,adventure,paralleltwin,2
92,taiwan,Taiwan,agility 125,125.0,10.0,9.5,cvt,automatic,1,75000.0,2023,classy,scooter,singlecylinder,1
93,taiwan,Taiwan,downtown 300i,300.0,29.0,27.0,cvt,automatic,2,150000.0,2023,classy,scooter,singlecylinder,1
94,taiwan,Taiwan,k-xct 300,300.0,29.0,27.0,cvt,automatic,2,160000.0,2023,adventure,adventure,singlecylinder,1
95,taiwan,Taiwan,ak 550,550.0,47.0,55.0,manual,chain,2,250000.0,2023,sport,sport,paralleltwin,2
96,italy,Italy,daytona 125,125.0,12.5,10.2,manual,chain drive,1,105000.0,2023,modern,naked,air cooled single cylinder 4stroke,1
97,italy,Italy,gran turismo 300,300.0,25.8,23.5,manual,chain drive,1,150000.0,2023,modern,sport,liquid cooled single cylinder 4stroke,1
98,italy,Italy,cafe racer 500,500.0,38.0,38.0,manual,chain drive,1,200000.0,2023,retro,cafe racer,air cooled single cylinder 4stroke,1
99,italy,Italy,scrambler 650,650.0,47.0,50.0,manual,chain drive,1,250000.0,2023,adventure,scrambler,liquid cooled single cylinder 4stroke,1
